packet_rate,duration,bytes_sent,bytes_received,label
403.76,3.05,3264.35,617.28,dos
34.07,2.66,1603.33,728.95,normal
51.27,2.35,5434.92,2241.32,normal
60.04,0.62,3079.52,1312.75,normal
86.86,10.95,2684.38,2323.28,normal
229.65,0.99,6323.74,1234.51,dos
65.89,3.0,2276.28,2593.69,normal
236.12,1.38,5517.59,422.5,dos
350.31,1.85,4642.26,719.86,dos
58.61,4.82,1708.81,4485.6,normal
103.89,5.07,780.35,2642.31,normal
275.31,0.42,7160.18,650.45,dos
316.02,3.25,5644.98,887.86,dos
269.01,1.09,2000.0,1694.23,dos
69.02,7.4,2628.57,2391.1,normal
148.86,1.63,6361.93,385.83,dos
75.82,9.93,1915.4,2632.66,normal
245.53,1.54,8617.1,120.06,dos
270.36,0.1,6311.78,1738.07,dos
303.4,2.65,4693.22,570.58,dos
265.34,2.66,6658.54,428.52,dos
83.04,0.59,2180.54,3734.65,normal
80.35,0.5,4953.93,2543.81,normal
268.32,2.2,2805.21,666.41,dos
26.63,3.16,2102.09,2777.69,normal
222.4,1.23,3407.9,1065.68,dos
76.13,3.97,1311.98,1939.77,normal
276.89,2.53,8234.95,971.79,dos
274.47,0.1,5317.5,696.88,dos
184.2,2.73,5705.12,545.43,dos
74.88,1.4,3218.9,2916.84,normal
62.38,2.9,3746.47,1377.48,normal
91.54,2.96,5193.62,2939.27,normal
70.86,8.9,2310.02,2773.54,normal
407.12,2.75,4486.89,100.0,dos
56.28,0.94,1779.75,4696.56,normal
289.98,1.81,6722.36,593.86,dos
82.95,3.38,3693.25,2900.95,normal
62.17,8.99,1728.22,1881.24,normal
275.54,0.82,3383.05,950.46,dos
254.68,1.55,5541.7,1263.24,dos
29.48,12.18,1905.74,3966.63,normal
299.24,1.42,4412.12,1031.03,dos
13.34,4.08,826.57,2595.83,normal
197.06,2.5,4048.86,1269.51,dos
64.92,6.15,4882.81,2518.94,normal
53.01,8.33,2888.51,1510.69,normal
26.58,3.86,4081.05,2165.07,normal
101.0,7.46,2581.85,1744.21,normal
109.89,6.37,1493.61,3834.58,normal
15.34,5.96,5274.45,500.0,normal
372.35,2.57,5470.57,632.63,dos
74.17,0.5,2788.7,3582.99,normal
146.58,1.63,6564.66,582.67,dos
71.34,9.23,2699.61,3665.31,normal
227.55,2.71,7534.18,645.7,dos
54.83,11.76,4106.22,1974.31,normal
161.03,1.93,6074.01,705.58,dos
70.82,6.41,1590.2,1066.38,normal
58.93,2.73,1512.56,2848.8,normal
73.75,4.93,3490.5,2491.99,normal
245.83,0.1,5875.89,482.58,dos
276.08,3.29,4907.76,1567.07,dos
64.36,5.14,2371.07,2192.37,normal
27.2,7.15,1460.26,4013.8,normal
327.95,2.33,5380.22,1438.67,dos
56.23,2.83,2764.16,3348.47,normal
254.34,2.17,6186.79,1109.58,dos
167.67,2.54,4711.77,453.39,dos
36.59,3.22,500.0,2136.3,normal
158.41,1.28,7505.94,100.0,dos
60.74,3.05,3967.37,4271.34,normal
52.56,2.84,2147.05,1857.8,normal
72.71,0.5,2081.84,500.0,normal
65.37,5.43,2947.75,1409.62,normal
227.92,1.56,7922.05,917.5,dos
42.97,5.0,2281.55,1218.34,normal
293.11,0.34,4949.28,1337.41,dos
241.82,1.74,6883.65,693.1,dos
61.5,11.15,1784.41,3546.21,normal
290.43,2.59,5810.0,445.02,dos
28.71,2.85,3512.55,1473.36,normal
186.99,0.1,4648.9,181.54,dos
74.78,5.4,2003.43,3249.93,normal
257.08,0.34,6086.29,584.98,dos
71.75,4.92,3016.89,2673.62,normal
86.53,7.39,1858.27,2903.59,normal
72.15,5.31,1521.29,500.0,normal
192.9,2.05,5638.05,882.3,dos
370.8,2.27,7402.26,100.0,dos
390.8,0.98,8081.74,900.58,dos
344.55,1.61,7104.27,639.6,dos
100.0,2.51,6232.99,1231.43,dos
59.36,5.22,1492.47,2524.04,normal
34.04,7.78,500.0,1168.83,normal
37.87,4.1,1862.73,4495.25,normal
211.9,1.58,4725.34,100.0,dos
249.08,1.03,5770.12,1351.52,dos
317.02,3.42,8897.72,1003.46,dos
224.14,1.8,7322.64,257.92,dos
88.73,5.32,4367.7,4311.46,normal
395.68,0.14,4912.61,992.84,dos
50.67,4.88,2206.94,2796.5,normal
247.2,1.33,6818.3,533.98,dos
237.35,0.1,4039.86,750.79,dos
34.62,4.65,3294.77,2280.29,normal
79.84,10.8,3247.88,2641.41,normal
327.58,2.1,7338.94,1089.04,dos
235.27,1.59,2975.41,895.31,dos
77.47,3.2,2039.9,1827.33,normal
388.04,0.1,5773.38,1007.15,dos
225.1,0.8,6372.64,201.6,dos
71.82,0.5,3471.17,1808.77,normal
31.42,5.63,2877.12,1202.67,normal
268.99,3.21,5851.67,204.3,dos
69.83,7.69,1347.46,3194.7,normal
186.07,1.37,8179.24,1241.69,dos
42.42,4.04,3619.47,3020.95,normal
10.0,3.65,1395.41,2131.87,normal
42.38,3.44,2247.81,2942.59,normal
455.21,2.7,5678.97,737.48,dos
106.42,8.62,2540.75,5002.04,normal
309.18,1.44,6142.82,506.47,dos
100.0,0.2,3609.96,853.18,dos
47.02,0.5,1333.06,2210.41,normal
55.05,2.61,500.0,2504.8,normal
49.89,4.89,3908.61,3562.56,normal
42.55,9.82,4698.54,1937.83,normal
204.07,1.16,8631.5,864.21,dos
55.37,6.56,3532.4,3301.9,normal
269.69,1.75,5777.1,1197.27,dos
72.28,6.26,1393.34,1480.25,normal
66.76,5.41,1345.43,3703.37,normal
305.66,0.11,7073.9,462.97,dos
259.73,0.1,8756.65,652.59,dos
180.06,1.55,6489.64,114.63,dos
67.4,7.67,3307.76,2384.63,normal
185.85,0.33,2638.21,439.82,dos
42.08,2.72,1697.97,2405.41,normal
255.24,1.88,4152.21,746.68,dos
78.8,7.45,1152.5,5018.61,normal
219.26,1.96,9794.71,143.87,dos
250.02,0.24,4249.95,100.0,dos
33.56,6.62,1850.44,4592.81,normal
188.11,0.58,4731.91,279.51,dos
434.3,0.39,9022.65,819.32,dos
282.12,1.25,5549.99,986.76,dos
48.31,7.6,4269.38,500.0,normal
83.36,8.82,4113.14,2922.43,normal
32.85,1.53,500.0,3602.57,normal
280.93,1.58,4882.49,622.31,dos
256.72,1.93,7608.63,1728.85,dos
56.91,5.24,1552.9,3073.87,normal
198.76,1.59,7808.87,868.81,dos
229.51,0.89,6819.74,1425.68,dos
209.41,1.06,5519.84,426.47,dos
330.81,0.11,7897.81,1725.02,dos
106.31,8.76,3634.76,503.57,normal
349.67,0.36,7371.36,293.83,dos
42.84,2.61,1481.96,3271.59,normal
52.71,5.04,2400.24,3161.35,normal
35.36,3.53,905.98,2044.13,normal
226.78,0.71,3337.65,694.34,dos
71.81,4.16,500.0,4354.27,normal
56.64,4.38,2095.57,2757.98,normal
107.15,1.91,3175.49,2244.43,normal
113.61,3.28,11228.74,1597.19,dos
229.19,0.1,8881.46,1959.1,dos
206.96,0.93,8175.95,1015.13,dos
10.75,5.74,1467.37,1158.53,normal
42.95,6.56,1992.92,2068.29,normal
189.56,3.31,2351.03,100.0,dos
220.02,2.7,7006.24,399.19,dos
292.26,2.48,5412.37,583.4,dos
72.98,4.86,2604.83,564.38,normal
59.48,4.23,2786.49,3175.26,normal
77.45,6.48,2096.56,5968.77,normal
295.76,2.08,6868.85,1337.22,dos
36.61,4.25,1893.98,564.24,normal
253.49,1.59,5099.38,374.92,dos
143.59,0.27,7132.65,634.79,dos
42.33,0.5,2816.67,1412.19,normal
280.74,1.05,8244.46,100.0,dos
70.73,1.83,2524.03,2557.47,normal
238.88,2.43,3459.83,835.34,dos
213.75,2.51,7032.89,392.42,dos
71.79,0.5,3037.52,1605.53,normal
205.34,0.49,3627.62,292.78,dos
79.76,0.5,2278.47,2758.8,normal
69.98,6.19,500.0,1712.11,normal
284.51,1.14,4759.24,1584.08,dos
47.17,2.43,500.0,4656.42,normal
83.24,3.7,1496.58,2565.2,normal
48.75,7.32,3278.26,3345.21,normal
296.26,1.3,6910.92,123.67,dos
49.56,10.54,3639.11,3172.64,normal
61.9,7.32,1811.56,3528.79,normal
44.84,4.57,2402.04,4596.39,normal
63.2,7.93,2953.07,4972.41,normal
85.24,4.33,4448.61,2205.92,normal
100.0,0.2,7209.81,1182.26,dos
179.66,1.22,4958.81,859.97,dos
79.37,11.07,2460.55,662.89,normal
74.65,0.5,1514.99,3687.94,normal
143.93,0.83,7493.81,723.12,dos
32.96,6.29,3654.65,5948.9,normal
215.64,0.64,5761.04,397.67,dos
62.48,1.28,627.8,3334.89,normal
324.98,2.21,6517.12,1082.19,dos
87.47,8.7,1873.1,2264.45,normal
10.0,0.5,2703.28,3592.59,normal
328.0,2.15,9144.25,1251.16,dos
284.77,2.38,9747.15,883.08,dos
254.94,2.04,8250.65,553.02,dos
309.65,1.87,7431.76,1064.13,dos
137.25,0.1,4048.11,148.33,dos
335.51,1.42,3971.95,1344.8,dos
322.3,2.8,7658.98,957.45,dos
296.81,2.01,2378.56,688.93,dos
68.56,6.56,1744.04,2894.52,normal
294.74,2.73,4489.24,1499.39,dos
197.71,1.79,3236.64,1316.0,dos
190.31,3.42,5194.1,561.63,dos
40.75,6.93,2384.34,1503.72,normal
324.36,2.09,4007.16,563.93,dos
10.0,1.97,1143.86,1336.86,normal
425.91,3.27,4961.31,999.93,dos
195.0,1.7,5265.73,1748.48,dos
116.81,4.14,980.15,2029.61,normal
100.0,2.15,6903.01,567.48,dos
74.24,3.66,2919.54,3594.18,normal
98.78,3.85,4026.91,1499.5,normal
312.76,0.32,7515.74,559.74,dos
310.4,1.95,6156.84,655.93,dos
64.4,1.8,2178.36,2559.59,normal
263.82,1.1,3549.09,100.0,dos
81.75,6.44,2539.44,3945.61,normal
78.92,4.3,3906.73,500.0,normal
241.9,0.85,6366.99,1265.26,dos
208.01,2.41,4930.76,585.2,dos
395.03,2.34,7273.34,100.0,dos
43.13,4.56,1604.12,3811.03,normal
54.51,2.02,4718.4,2230.83,normal
47.19,0.5,2551.84,3006.54,normal
19.66,8.82,2194.47,3870.2,normal
96.94,9.27,3773.81,2663.71,normal
252.35,1.01,5342.69,840.04,dos
28.27,7.84,2838.32,3952.39,normal
85.96,9.03,926.91,2006.46,normal
38.86,2.58,3490.27,3485.44,normal
267.58,2.31,5651.03,1267.61,dos
42.45,0.82,500.0,3928.84,normal
333.01,1.95,4169.99,100.0,dos
143.64,1.48,5862.29,240.21,dos
73.8,2.08,3849.3,3393.07,normal
285.2,0.69,5749.77,1461.96,dos
35.75,7.12,1050.67,2458.89,normal
145.62,1.47,9198.04,1510.31,dos
57.32,3.78,1932.18,2352.11,normal
58.11,3.96,1277.39,2408.74,normal
53.59,5.43,2323.41,2237.73,normal
311.0,0.1,4138.77,879.59,dos
330.51,2.14,3377.75,1057.43,dos
34.27,2.72,4348.13,1322.83,normal
24.0,3.88,2910.94,4217.96,normal
365.31,1.74,5298.01,878.15,dos
100.0,2.13,6494.13,1196.27,dos
62.07,11.07,1601.94,3652.07,normal
69.33,7.39,4370.35,1651.78,normal
10.0,4.42,1078.06,1523.23,normal
98.97,8.19,2216.82,2537.7,normal
218.81,0.1,7449.21,424.94,dos
251.23,2.24,5826.3,816.87,dos
267.15,0.92,5617.1,495.01,dos
32.97,4.15,3523.62,2135.36,normal
363.07,2.14,6082.07,1619.42,dos
174.77,3.21,5772.35,448.09,dos
82.6,3.13,4055.11,616.27,normal
280.13,1.07,6536.07,610.58,dos
107.04,1.17,5062.31,777.42,dos
366.45,0.1,3768.14,744.2,dos
46.76,5.25,3424.06,1833.85,normal
341.13,0.28,8692.03,195.23,dos
234.81,0.97,5546.65,955.06,dos
318.16,1.89,6875.13,1548.05,dos
305.68,0.41,6229.87,457.14,dos
44.32,3.65,2783.85,1399.57,normal
82.31,7.18,2413.03,1559.07,normal
68.75,2.61,2226.54,2082.03,normal
83.65,5.34,2086.28,2702.43,normal
294.87,1.68,2488.71,100.0,dos
165.13,1.37,3507.89,264.81,dos
178.31,2.0,7906.9,888.01,dos
39.29,0.5,3477.62,1887.07,normal
296.04,2.21,6218.14,1009.79,dos
227.19,1.48,4710.17,1322.04,dos
234.99,0.77,9271.2,1173.85,dos
178.32,0.55,6649.3,1008.95,dos
98.55,1.92,4015.09,2751.91,normal
441.32,1.34,6301.27,532.16,dos
374.26,2.54,6173.91,604.93,dos
51.93,3.69,2122.48,2807.89,normal
328.57,1.98,7554.32,919.25,dos
72.29,5.7,1238.14,663.84,normal
66.44,1.78,2407.76,3232.53,normal
283.31,0.55,10361.64,826.52,dos
305.56,1.75,9583.77,1499.29,dos
213.28,1.73,7291.22,1011.84,dos
58.21,7.24,3089.2,2672.94,normal
264.44,1.2,10147.42,100.0,dos
301.72,0.2,7914.7,1596.34,dos
119.84,1.35,4756.21,1219.66,dos
229.43,0.22,5755.51,598.44,dos
364.45,1.7,4591.37,1106.0,dos
93.64,6.43,4123.31,2535.47,normal
278.98,1.17,5608.95,322.22,dos
39.9,8.36,1416.51,2582.11,normal
235.36,0.1,5404.04,469.92,dos
204.55,1.9,6667.83,553.48,dos
188.55,1.91,5552.1,740.05,dos
283.78,1.47,5028.53,544.26,dos
47.96,5.81,2066.28,500.0,normal
281.7,1.32,4222.01,108.15,dos
251.66,1.03,4948.86,1433.54,dos
284.54,0.87,5390.12,1236.11,dos
218.31,1.95,6321.15,1377.51,dos
53.92,8.66,3332.44,660.19,normal
243.94,1.71,5646.06,517.42,dos
310.38,1.38,8185.48,684.99,dos
72.95,5.71,3688.36,2695.14,normal
74.49,5.77,4289.4,3853.6,normal
75.47,5.0,2317.0,3804.3,normal
41.21,12.1,3583.67,5004.73,normal
47.71,5.97,3639.12,3065.3,normal
317.67,2.32,5811.47,1137.34,dos
54.46,2.46,2719.11,3011.64,normal
10.61,4.54,3214.39,2992.18,normal
156.73,2.73,5574.31,798.01,dos
141.27,0.7,2888.03,1207.26,dos
66.7,8.19,4048.51,2906.97,normal
399.89,1.8,8089.39,1053.08,dos
404.29,0.1,6487.75,1360.3,dos
58.75,8.47,2212.57,2524.83,normal
177.2,2.12,7617.78,790.69,dos
231.45,0.72,7713.97,1292.25,dos
63.07,2.57,1534.77,1250.79,normal
60.48,4.36,1460.79,2241.93,normal
338.2,2.09,4957.66,148.38,dos
337.73,0.66,8342.34,951.97,dos
280.11,2.02,6020.39,545.49,dos
284.47,2.49,8792.06,418.06,dos
96.28,0.91,2981.72,2963.15,normal
83.76,1.01,4673.87,2614.36,normal
65.33,4.4,4087.51,3595.68,normal
195.86,0.2,7093.86,953.49,dos
92.32,5.29,1286.94,500.0,normal
204.01,1.34,6707.64,150.78,dos
32.57,0.5,4250.99,2248.57,normal
175.06,1.39,2672.88,514.86,dos
28.69,7.16,500.0,1639.26,normal
109.79,1.83,3180.8,3818.89,normal
180.66,1.26,5885.03,1731.21,dos
25.27,7.09,2830.11,1346.17,normal
213.6,0.42,8580.19,1494.14,dos
177.36,0.48,5953.73,934.64,dos
100.0,1.52,4910.61,680.4,dos
394.97,2.25,12000.0,928.97,dos
230.95,0.78,6184.73,893.06,dos
123.73,4.53,500.0,3183.16,normal
64.6,6.2,3089.53,2859.02,normal
